trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.4, 'e': 0.99}",25,5,-117.7590648192643,"{0: 10, 1: 2, 2: 6, 3: 1, 4: 1}",1
2,False,"{'a': 0.4, 'e': 0.9801}",30,0,-58.05645341292811,"{0: 23, 1: 2, 2: 3, 3: 2, 4: 0}",0
3,False,"{'a': 0.4, 'e': 0.970299}",30,0,-107.6417876617238,"{0: 19, 1: 3, 2: 7, 3: 0, 4: 1}",0
4,False,"{'a': 0.4, 'e': 0.9605960100000001}",30,0,-69.9742789503114,"{0: 21, 1: 1, 2: 7, 3: 1, 4: 0}",0
5,False,"{'a': 0.4, 'e': 0.9509900499}",25,0,-104.18393333807536,"{0: 14, 1: 4, 2: 6, 3: 0, 4: 1}",0
6,False,"{'a': 0.4, 'e': 0.941480149401}",25,0,-152.4538554766306,"{0: 16, 1: 3, 2: 3, 3: 0, 4: 3}",0
7,False,"{'a': 0.4, 'e': 0.93206534790699}",20,0,-75.57369278045371,"{0: 14, 1: 2, 2: 2, 3: 1, 4: 1}",0
8,False,"{'a': 0.4, 'e': 0.9227446944279202}",25,0,-69.95651883978512,"{0: 19, 1: 1, 2: 3, 3: 1, 4: 1}",0
9,False,"{'a': 0.4, 'e': 0.9135172474836409}",20,0,-79.12623345608972,"{0: 9, 1: 4, 2: 7, 3: 0, 4: 0}",0
10,False,"{'a': 0.4, 'e': 0.9043820750088045}",25,0,-98.53577033054138,"{0: 19, 1: 0, 2: 4, 3: 0, 4: 2}",0
11,False,"{'a': 0.4, 'e': 0.8953382542587165}",25,0,-142.37711754519293,"{0: 13, 1: 4, 2: 6, 3: 0, 4: 2}",0
12,False,"{'a': 0.4, 'e': 0.8863848717161293}",20,0,-37.20165639975406,"{0: 13, 1: 3, 2: 4, 3: 0, 4: 0}",0
13,False,"{'a': 0.4, 'e': 0.8775210229989681}",25,0,-89.63207751859652,"{0: 20, 1: 1, 2: 1, 3: 1, 4: 2}",0
