trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",25,5,-98.01842756403931,"{0: 14, 1: 0, 2: 2, 3: 3, 4: 1}",1
2,False,"{'a': 0.5, 'e': 1.0}",20,0,-147.9193144493054,"{0: 12, 1: 2, 2: 3, 3: 0, 4: 3}",0
3,False,"{'a': 0.5, 'e': 1.0}",25,0,-137.2349940676955,"{0: 17, 1: 2, 2: 3, 3: 0, 4: 3}",0
4,False,"{'a': 0.5, 'e': 1.0}",20,0,-120.2377504212548,"{0: 12, 1: 1, 2: 3, 3: 3, 4: 1}",0
5,False,"{'a': 0.5, 'e': 1.0}",20,0,-127.93158272891233,"{0: 10, 1: 0, 2: 8, 3: 1, 4: 1}",0
6,False,"{'a': 0.5, 'e': 1.0}",25,0,-89.71825444743877,"{0: 18, 1: 0, 2: 5, 3: 1, 4: 1}",0
7,False,"{'a': 0.5, 'e': 1.0}",25,0,-174.41946552740458,"{0: 11, 1: 4, 2: 7, 3: 1, 4: 2}",0
8,False,"{'a': 0.5, 'e': 1.0}",20,0,-76.78896671918201,"{0: 11, 1: 1, 2: 8, 3: 0, 4: 0}",0
9,False,"{'a': 0.5, 'e': 1.0}",25,0,-115.11559852648702,"{0: 14, 1: 1, 2: 9, 3: 0, 4: 1}",0
10,False,"{'a': 0.5, 'e': 1.0}",20,0,-100.53136663464865,"{0: 13, 1: 0, 2: 4, 3: 2, 4: 1}",0
11,False,"{'a': 0.5, 'e': 1.0}",20,0,-210.69883438332673,"{0: 9, 1: 4, 2: 2, 3: 1, 4: 4}",0
12,False,"{'a': 0.5, 'e': 1.0}",20,0,-116.1350746552654,"{0: 11, 1: 1, 2: 6, 3: 1, 4: 1}",0
13,False,"{'a': 0.5, 'e': 1.0}",20,0,-65.00630349375547,"{0: 11, 1: 4, 2: 4, 3: 1, 4: 0}",0
14,False,"{'a': 0.5, 'e': 1.0}",25,0,-131.24317511370688,"{0: 13, 1: 3, 2: 7, 3: 1, 4: 1}",0
15,False,"{'a': 0.5, 'e': 1.0}",25,0,-209.88501104782685,"{0: 12, 1: 2, 2: 7, 3: 1, 4: 3}",0
16,False,"{'a': 0.5, 'e': 1.0}",20,0,-107.6339262695535,"{0: 13, 1: 1, 2: 4, 3: 0, 4: 2}",0
17,False,"{'a': 0.5, 'e': 1.0}",20,0,-152.88619657383478,"{0: 10, 1: 1, 2: 6, 3: 1, 4: 2}",0
18,False,"{'a': 0.5, 'e': 1.0}",25,0,-180.69444544646714,"{0: 13, 1: 3, 2: 6, 3: 0, 4: 3}",0
19,False,"{'a': 0.5, 'e': 1.0}",20,1,-131.26741557633798,"{0: 8, 1: 2, 2: 7, 3: 1, 4: 1}",1
20,False,"{'a': 0.5, 'e': 1.0}",25,0,-111.43127884769027,"{0: 15, 1: 2, 2: 4, 3: 4, 4: 0}",0
1,True,"{'a': 0.5, 'e': 1.0}",25,0,-161.91574373003274,"{0: 15, 1: 1, 2: 6, 3: 0, 4: 3}",0
2,True,"{'a': 0.5, 'e': 1.0}",20,0,-67.1823408156582,"{0: 13, 1: 0, 2: 6, 3: 1, 4: 0}",0
3,True,"{'a': 0.5, 'e': 1.0}",25,0,-140.72415979863374,"{0: 13, 1: 1, 2: 9, 3: 1, 4: 1}",0
4,True,"{'a': 0.5, 'e': 1.0}",25,0,-94.31654259001166,"{0: 13, 1: 4, 2: 7, 3: 1, 4: 0}",0
5,True,"{'a': 0.5, 'e': 1.0}",30,0,-126.05182711245111,"{0: 20, 1: 2, 2: 4, 3: 3, 4: 1}",0
6,True,"{'a': 0.5, 'e': 1.0}",30,0,-168.48519322985268,"{0: 17, 1: 3, 2: 7, 3: 1, 4: 2}",0
7,True,"{'a': 0.5, 'e': 1.0}",20,7,-21.75252112034357,"{0: 9, 1: 1, 2: 3, 3: 0, 4: 0}",1
8,True,"{'a': 0.5, 'e': 1.0}",30,0,-213.3667666562752,"{0: 18, 1: 2, 2: 4, 3: 3, 4: 3}",0
9,True,"{'a': 0.5, 'e': 1.0}",20,0,-54.31137112642648,"{0: 17, 1: 0, 2: 1, 3: 1, 4: 1}",0
10,True,"{'a': 0.5, 'e': 1.0}",25,0,-183.66578408947618,"{0: 12, 1: 1, 2: 9, 3: 1, 4: 2}",0
